"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","401","A Service Provider tries to activates a debtor without having the correct credentials","","Sun Jan 26 07:06:56 GMT 2025","passed","Sun Jan 26 07:06:56 GMT 2025","","","",""
"","2615","A debtor Service Provider tries to activates a debtor 2 times, failing the second attempt","","Sun Jan 26 07:06:53 GMT 2025","passed","Sun Jan 26 07:06:56 GMT 2025","","","",""
"","3004","An authenticated Service Provider cannot send an RTP to an activated debtor","","Sun Jan 26 07:06:59 GMT 2025","passed","Sun Jan 26 07:07:02 GMT 2025","","","",""
"","2297","A debtor Service Provider cannot send an RTP","","Sun Jan 26 07:07:05 GMT 2025","passed","Sun Jan 26 07:07:07 GMT 2025","","","",""
"","2985","An authenticated creditor Service Provider can send an RTP to an activated debtor","","Sun Jan 26 07:06:56 GMT 2025","passed","Sun Jan 26 07:06:59 GMT 2025","","","",""
"","2547","An authenticated Service Provider cannot send an RTP to an unactivated debtor","","Sun Jan 26 07:07:02 GMT 2025","passed","Sun Jan 26 07:07:05 GMT 2025","","","",""
"","2108","A debtor Service Provider activates a debtor","","Sun Jan 26 07:06:51 GMT 2025","passed","Sun Jan 26 07:06:53 GMT 2025","","","",""
"","1","Successful login","","Sun Jan 26 07:07:07 GMT 2025","passed","Sun Jan 26 07:07:07 GMT 2025","","","",""
