"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Parametrized contract test generated from the Send API OpenAPI spec.

Schemathesis derives one test case per endpoint defined in the spec, generating
request data (path params, query params, body) that is valid according to the schema.
Each case is executed against the live API and the response is validated with
CONTRACT_CHECKS.

An additional assertion verifies that the Location header is present on 201 responses
from POST /rtps, as required by the spec.
","125458","test_send_api_contract[POST /gpd/message]","contract-tests.tests","Wed Jun 24 16:41:26 UTC 2026","passed","Wed Jun 24 16:43:31 UTC 2026","","test_api_send_rtp","",""
"Parametrized contract test generated from the Activation API OpenAPI spec.

Schemathesis derives one test case per endpoint defined in the spec, generating
request data (path params, query params, body) that is valid according to the schema.
Each case is executed against the live API and the response is validated with
CONTRACT_CHECKS.
","61217","test_activation_contract[GET /activations/payer]","contract-tests.tests","Wed Jun 24 16:36:03 UTC 2026","passed","Wed Jun 24 16:37:04 UTC 2026","","test_activation","",""
